Quantidade,DiaDaSemana,Turno,TipoFrete,TipoTransporte,OrdemViagem,PercAtraso,Atraso
6,4,3,0,3,1,0,0
6,3,3,0,3,1,.2,0
6,3,3,0,3,1,0,0
6,3,3,0,3,1,.1,0
6,3,3,0,3,1,.2,0
6,3,3,0,3,1,.1,0
5,3,3,0,3,1,0,0
6,3,3,0,3,1,0,0
6,3,3,0,3,1,.2,0
6,3,3,0,3,1,.4,0
5,3,3,0,3,1,.1,0
6,3,3,0,3,1,.3,0
5,3,3,0,3,1,0,0
6,4,3,0,3,1,.3,1
6,3,3,0,3,1,.2,0
6,3,3,0,3,1,.4,1
6,3,3,0,3,1,0,0
6,3,3,0,3,1,.2,0
6,3,3,0,3,1,0,0
6,4,3,0,3,1,0,0
4,3,3,0,3,1,0,0
5,3,3,0,3,1,.2,0
4,4,3,0,3,1,0,0
6,4,3,0,3,1,.1,0
4,5,3,0,3,1,0,0
6,3,3,0,3,1,0,0
6,3,3,0,3,1,0,0
6,3,3,0,3,1,.3,0
6,3,3,0,3,1,0,0
6,5,3,0,3,1,.5,0
4,3,3,0,3,1,.5,1
6,3,3,0,3,1,.5,0
4,4,3,0,3,1,.4,0
4,5,3,0,3,2,.4,0
4,5,3,0,3,3,.4,0
4,4,3,0,3,1,.2,0
4,5,3,0,3,2,.2,0
4,4,3,0,3,1,.3,0
4,5,3,0,3,2,.3,1
4,7,3,0,3,3,.3,0
4,4,3,0,3,1,.3,0
4,4,3,0,3,1,.3,0
4,4,3,0,3,1,.3,0
4,4,3,0,3,1,.2,0
4,4,3,0,3,1,.2,0
4,4,3,0,3,1,.2,0
4,4,3,0,3,1,.2,0
4,4,3,0,3,1,.3,0
4,4,3,0,3,1,.3,0
4,4,3,0,3,1,.2,1
4,4,3,0,3,1,.3,0
4,4,3,0,3,1,.3,0
4,5,3,0,3,2,.3,1
4,5,3,0,3,2,.3,0
4,5,3,0,3,2,.2,0
4,5,3,0,3,2,.2,0
4,5,3,0,3,2,.2,0
